Haplotype	Europe	North America	North-East Asia	South Asia	South and Central America	South-East Asia	Western Asia	Weighted	Mean
33:03/44:03/07:01	0.021895482054215	1.6412231910923931	0.0475278985521398	3.3151604206070733	0.0341907374556973	0.3009573882120723	0.0	1.3891585263701225	0.7658507311390843
30:01/42:01/17:01	0.0	1.460875855437123	0.0	0.0	0.102572212367092	0.0	0.7452983940376128	1.2261258760068274	0.3298209231202611
30:02/18:01/05:01	0.2559935690585707	1.4341595157038505	0.0	0.0	0.9892320091348692	0.0	0.0	1.2224402318975323	0.38276929912818436
24:02/52:01/12:02	0.059886500038093	0.7845473596972378	8.763206124919124	1.5913170376455237	0.1181679873468838	0.090007380593727	0.5563185555494515	0.9658231327357208	1.7090644208271488
02:01/18:01/07:01	1.1924237337447423	0.940818417127996	0.1135974694415309	0.0829911986174042	0.1024722394505548	0.0	0.5742643154058854	0.9108002654720815	0.42950962482687327
11:01/52:01/12:02	0.4660887013294027	0.8465483161888295	0.2227961979980107	1.4142010211533047	0.0	0.2320063288239107	0.9877492720980056	0.7785658936533774	0.5956271196559234
02:01/27:05/01:02	0.3834731027153322	0.8308435716106816	0.1167824176697984	0.0	0.1367629498227894	0.0	0.0	0.7340839435668671	0.20969457740265737
01:01/52:01/12:02	0.3260685797820294	0.8200472158031099	0.0364817257054878	0.4463203668324567	0.2478328600955372	0.0242984015681557	0.7896134336830926	0.7276284284323894	0.38438036906712414
33:03/53:01/04:01	0.0	0.6449514824345515	0.0	0.0	0.2050444518176469	0.0	0.0	0.5380588043267388	0.1214279906074569
68:01/58:02/06:02	0.0	0.5640316106120842	0.0	0.0	0.1366629769062522	0.0	0.0	0.4704644940249863	0.10009922678833377
25:01/18:01/12:03	2.3477480015359915	0.0	0.353117536847527	0.0	0.2050444518176469	0.0	0.0	0.24056792251256007	0.4151299986001665
02:01/51:01/15:02	0.593747059971407	0.0	0.4229119545671074	0.2947687391856718	0.3056172058539964	0.117086160094131	6.867366185061072	0.1504124355447024	1.2287853292476265
26:01/38:01/12:03	1.234734578213155	0.0	0.1802523118546777	0.0	0.7859870698148905	0.0440672162466674	0.0	0.12855923913562453	0.32072016801848435
02:01/51:01/14:02	0.6257709707257298	0.0	0.6432599731811688	0.1354856314778105	0.2857225954631082	0.3531360352012139	2.4702887802376896	0.11708652915862117	0.6448091408981029
02:01/27:05/02:02	1.1159357671551886	0.0	0.1593667292105491	0.0	0.0341907374556973	0.0	0.0	0.11393679389663305	0.18707046197449073
02:01/15:01/03:03	0.8820586799273777	0.0	0.439872047651283	0.0	0.2392351892733442	0.1695321655626382	0.0	0.10425435665063401	0.2472425832020919
02:01/50:01/06:02	0.2258338308194813	0.0	0.0	0.1243698103328745	0.4699726806410328	0.0	6.739182186086542	0.0965892566012807	1.0799083582685616
02:01/57:01/06:02	0.93912482434545	0.0	0.0956198355024158	0.3372642324536198	0.1024722394505548	0.0195785389025784	0.0	0.09628479100222886	0.2134370958078027
24:02/40:01/03:04	0.2598597423806765	0.0	1.1525833071190814	0.219376734658536	0.0341907374556973	1.4005157804118702	0.0	0.09176128621252315	0.4380751860036945
11:01/40:01/07:02	0.0449417887478842	0.0	0.2057860112291207	0.0	0.0	3.9761425265207935	0.0	0.08844266491965024	0.603838618071114
24:02/51:01/14:02	0.0984392117580042	0.0	1.8497575876716643	0.3355188175583603	0.0	0.6784537477085374	0.0	0.08563903958739684	0.42316705209950944
02:01/38:01/12:03	0.8360177861664551	0.0	0.0619237103460649	0.0	0.4423801556767859	0.0	0.0	0.08427839628296943	0.1914745217413294
03:01/35:03/04:01	0.7984068770675485	0.0	0.0506092786026275	0.6102352833277325	0.2392351892733442	0.0824931423552911	0.0	0.08352781159778606	0.2544256815180777
11:01/15:01/04:01	0.0740244909479016	0.0	1.553039582168568	0.0	0.0	1.026139533988241	0.0	0.07896065406771317	0.3790290867292444
31:01/51:01/14:02	0.0268956264025394	0.0	2.086413512578416	0.1609829274385793	0.0	0.133521714842228	0.0	0.07539957571969555	0.343973397323109
24:02/15:01/03:03	0.5689380071806532	0.0	0.5233267452015747	0.0776620637828117	0.1024722394505549	0.0842903189236498	0.0	0.074917983045697	0.1938127677913206
31:01/51:01/15:02	0.1729640180102026	0.0	0.0462800504356246	0.1605829698548809	0.2734259267290416	0.0635208891075879	4.57763372337893	0.07045881048454011	0.756343939645181
02:01/35:01/04:01	0.6032731362761553	0.0	0.1044335410296662	0.1254866918853522	0.3642013349447527	0.0524808046661767	0.0	0.06434977302097189	0.17855364411458616
24:02/40:02/03:04	0.0626989992684235	0.0	1.5588309481033644	0.0	0.7031095220056124	0.1836787127195104	0.0	0.06311064740486247	0.3583311688709872
68:01/35:03/04:01	0.4274020121980028	0.0	0.0256107570672259	0.1998798023472015	0.0	0.0230238650068322	1.5400391876796864	0.06030029629052047	0.3165650891855641
26:01/08:01/07:02	0.0381017583753192	0.0	0.0	0.8544953790560602	0.0	0.1252732135329662	4.571407643428739	0.05875645379247831	0.7984682849132978
23:01/50:01/06:02	0.1170798540801892	0.0	0.0	0.0	0.1024722394505548	0.0	4.197110366423116	0.057213850432987795	0.6309517799934086
26:01/40:02/03:04	0.0140490166564027	0.0	1.6131369344910638	0.0	0.0341907374556973	0.0353793378579105	0.0	0.055964452881542205	0.24239371806586774
